name,F1,F2,F3,F4,P1,P2,P3,P4,P_TOTAL,PLAYER_POWER,RATIO
Player13,Player06,Player10,Player09,Player28,2564000.0,2230000.0,1866864.0,41662.0,6702526.0,8800000.0,0.7616506818181819
Player09,Player13,Player06,Player37,Player39,2600000.0,2521000.0,417339.0,1374624.0,6912963.0,8553120.0,0.8082387479656546
Player06,Player09,Player12,Player13,Player32,2564268.0,2112148.0,2100000.0,67800.0,6844216.0,9000000.0,0.7604684444444444
Player12,Player10,Player13,Player39,Player09,2400000.0,2200000.0,1534464.0,1641024.0,7775488.0,7145463.0,1.088171333334173
Player10,Player12,Player09,Player06,Player35,2521548.0,2480964.0,2262000.0,1231360.0,8495872.0,7360000.0,1.1543304347826089
Player39,Player18,Player35,Player23,Player13,155370.0,1605504.0,1481184.0,1900000.0,5142058.0,6407216.0,0.8025416967369291
Player23,Player39,Player36,Player16,Player25,1861544.0,1509304.0,1484736.0,308976.0,5164560.0,4822286.0,1.0709775405274593
Player07,Player23,Player34,Player14,Player24,1763272.0,1493764.0,1230000.0,902504.0,5389540.0,5289520.0,1.018909088159228
Player35,Player07,Player39,Player10,Player06,1763262.0,1636584.0,1630000.0,1653000.0,6682846.0,6134896.0,1.0893169175157982
Player28,Player35,Player04,Player24,Player23,1753208.0,1572056.0,1251636.0,74446.0,4651346.0,4530650.0,1.026639886109057
Player36,Player28,Player24,Player20,Player12,1697264.0,1526620.0,1346498.0,1120103.0,5690485.0,5538160.0,1.0275046224738902
Player05,Player36,Player07,Player33,Player34,1679208.0,1493468.0,1200000.0,858252.0,5230928.0,5091200.0,1.0274450031426776
Player24,Player05,Player27,Player02,Player20,1661448.0,1536536.0,1269692.0,980648.0,5448324.0,5333624.0,1.0215050779732504
Player34,Player24,Player23,Player05,Player15,1652864.0,1503384.0,1177784.0,893624.0,5227656.0,5170528.0,1.011048774902679
Player15,Player34,Player20,Player36,Player02,1643688.0,1386464.0,1296184.0,944092.0,5270428.0,5204864.0,1.012596678798908
Player27,Player15,Player02,Player32,Player38,1643688.0,1538016.0,919300.0,560000.0,4661004.0,4479570.0,1.0405025482356565
Player19,Player27,Player32,Player03,Player00,1643688.0,1182000.0,998408.0,508974.0,4333070.0,4104010.0,1.055813704157641
Player02,Player19,Player28,Player04,Player16,1643688.0,1552224.0,1272504.0,986420.0,5454836.0,5358784.0,1.0179242156429518
Player20,Player02,Player16,Player12,Player11,1606984.0,1485624.0,1391664.0,996632.0,5480904.0,5320504.0,1.0301475198590209
Player16,Player20,Player05,Player35,Player36,1606894.0,1485624.0,1544824.0,1053464.0,5690806.0,5562284.0,1.0231059758904797
Player04,Player16,Player18,Player15,Player05,1605504.0,110378.0,1312760.0,766344.0,3794986.0,5117840.0,0.7415210323105059
Player21,Player04,Player03,Player25,Player31,1605504.0,1286268.0,725331.0,344892.0,3961995.0,3774000.0,1.0498131955484895
Player22,Player21,Player15,Player18,Player19,1572000.0,1354792.0,840196.0,430354.0,4197342.0,4164572.0,1.0078687557809058
Player14,Player22,Player33,Player28,Player37,1571464.0,1300000.0,1239500.0,327303.0,4438267.0,4194500.0,1.0581158660150196
Player33,Player14,Player22,Player07,Player30,1570000.0,1347984.0,1219076.0,422628.0,4559688.0,4400000.0,1.0362927272727274
Player03,Player33,Player14,Player34,Player07,1500000.0,1280000.0,1174824.0,813714.0,4768538.0,4523620.0,1.0541420366874317
Player32,Player03,Player21,Player19,Player14,1475560.0,1272000.0,926184.0,114500.0,3788244.0,3430100.0,1.104412116264832
Player01,Player32,Player19,Player22,Player03,1261000.0,1103784.0,825100.0,763384.0,3953268.0,3627147.0,1.0899111615823676
Player30,Player01,Player31,Player38,Player27,1218438.0,710694.0,737000.0,445972.0,3112104.0,2990376.0,1.0407065867302303
Player38,Player30,Player01,Player31,Player04,1193223.0,945747.0,754482.0,667776.0,3561228.0,3340000.0,1.0662359281437126
Player31,Player38,Player37,Player00,Player22,1160000.0,747348.0,761493.0,420024.0,3088865.0,2960487.0,1.0433638114269712
Player00,Player31,Player38,Player01,Player18,1150419.0,883000.0,821148.0,528804.0,3383371.0,3119772.0,1.0844930334652658
Player37,Player00,Player25,Player21,Player33,1060260.0,712293.0,618000.0,400000.0,2790553.0,2416335.0,1.1548700821698978
Player25,Player37,Player00,Player30,Player21,924345.0,789045.0,732834.0,312000.0,2758224.0,2645730.0,1.0425190779104443
Player18,Player25,Player30,Player27,Player01,899130.0,641691.0,853374.0,641814.0,3036009.0,1634748.0,1.857172481630196
Player11,,,,Player10,,,,1100000.0,,,
